D/AlarmManagerService(   61): Kernel timezone updated to 0 minutes west of GMT
D/dalvikvm(   61): GC_FOR_MALLOC freed 86K, 45% free 4331K/7815K, external 4373K/5573K, paused 206ms
I/ActivityThread(  188): Pub com.android.deskclock: com.android.deskclock.AlarmProvider
D/dalvikvm(  188): GC_CONCURRENT freed 368K, 54% free 2620K/5639K, external 1625K/2137K, paused 4ms+121ms
I/ActivityThread(  185): Pub contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 7K, 52% free 2734K/5639K, external 3368K/3387K, paused 362ms
I/ActivityManager(   61): Start proc com.android.protips for broadcast com.android.protips/.ProtipWidget: pid=206 uid=10024 gids={}
D/dalvikvm(   33): GC_EXPLICIT freed 10K, 53% free 2538K/5379K, external 1625K/2137K, paused 263ms
D/TelephonyProvider(  137): Setting numeric '310260' to be the current operator
I/TelephonyRegistry(   61): notifyDataConnection: state=1 isDataConnectivityPossible=true reason=simLoaded interfaceName=null networkType=3
I/TelephonyRegistry(   61): notifyDataConnection: state=2 isDataConnectivityPossible=true reason=simLoaded interfaceName=/dev/omap_csmi_tty1 networkType=3
D/Tethering(   61): MasterInitialState.processMessage what=3
D/dalvikvm(   33): GC_EXPLICIT freed <1K, 53% free 2538K/5379K, external 1625K/2137K, paused 357ms
D/dalvikvm(   33): GC_EXPLICIT freed <1K, 53% free 2538K/5379K, external 1625K/2137K, paused 271ms
D/SntpClient(   61): request time failed: java.net.SocketException: Address family not supported by protocol
I/ActivityManager(   61): Start proc com.android.music for broadcast com.android.music/.MediaAppWidgetProvider: pid=218 uid=10005 gids={3003, 1015}
I/ActivityThread(  185): Pub call_log: com.android.providers.contacts.CallLogProvider
I/ActivityThread(  185): Pub user_dictionary: com.android.providers.userdictionary.UserDictionaryProvider
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 55K, 51% free 2779K/5639K, external 4217K/4261K, paused 184ms
I/ActivityManager(   61): Start proc com.android.quicksearchbox for broadcast com.android.quicksearchbox/.SearchWidgetProvider: pid=227 uid=10002 gids={3003}
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 28K, 51% free 2799K/5639K, external 5345K/5346K, paused 98ms
D/dalvikvm(   61): GREF has increased to 301
D/dalvikvm(  144): GC_EXPLICIT freed 18K, 51% free 2812K/5639K, external 5458K/6692K, paused 74ms
I/ActivityThread(  227): Pub com.android.quicksearchbox.google: com.android.quicksearchbox.google.GoogleSuggestionProvider
I/ActivityThread(  227): Pub com.android.quicksearchbox.shortcuts: com.android.quicksearchbox.ShortcutsProvider
I/ActivityManager(   61): Start proc android.process.media for broadcast com.android.providers.downloads/.DownloadReceiver: pid=235 uid=10000 gids={1015, 1006, 2001, 3003}
I/ActivityThread(  235): Pub media: com.android.providers.media.MediaProvider
V/MediaProvider(  235): Attached volume: internal
I/ActivityThread(  235): Pub downloads: com.android.providers.downloads.DownloadProvider
I/ActivityThread(  235): Pub drm: com.android.providers.drm.DrmProvider
I/ActivityManager(   61): Start proc com.mx.browser for broadcast com.mx.browser/.cloud.CloudReceiver: pid=244 uid=10036 gids={3003, 1015}
I/ActivityThread(  244): Pub com.mx.browser.downloadprovider: com.mx.browser.download.DownloadProvider
I/ActivityThread(  244): Pub com.mx.browser.browserprovider: com.mx.browser.BrowserProvider
I/ActivityManager(   61): Start proc com.wandoujia.phoenix2 for broadcast com.wandoujia.phoenix2/com.wandoujia.phoenix4.receiver.ConnectivityChangedReceiver: pid=258 uid=10035 gids={3003, 1007, 1015, 1006}
I/ActivityThread(  258): Pub com.wandoujia.thumbnail;com.wandoujia.imagecache: com.wandoujia.phoenix2.providers.ThumbProvider
I/ActivityThread(  258): Pub com.wandoujia.phoenix4.download: com.wandoujia.phoenix4.download.lib.rpc.DownloadProvider
I/ActivityThread(  258): Pub com.wandoujia.app;com.wandoujia.image;com.wandoujia.photosync;com.wandoujia.share;com.wandoujia.sync;com.wandoujia.offlinetask: com.wandoujia.phoenix2.providers.PhoenixProvider
D/dalvikvm(  258): Trying to load lib /data/data/com.wandoujia.phoenix2/lib/libudid.so 0x40515820
D/dalvikvm(  258): Added shared lib /data/data/com.wandoujia.phoenix2/lib/libudid.so 0x40515820
I/dalvikvm(  258): Could not find method android.os.Environment.isExternalStorageEmulated, referenced from method com.wandoujia.phoenix2.utils.at.o
W/dalvikvm(  258): VFY: unable to resolve static method 873: Landroid/os/Environment;.isExternalStorageEmulated ()Z
D/dalvikvm(  258): VFY: replacing opcode 0x71 at 0x001d
D/dalvikvm(  258): VFY: dead code 0x0020-0024 in Lcom/wandoujia/phoenix2/utils/at;.o ()Z
I/SurfaceFlinger(   61): Boot is finished (17279 ms)
D/PowerManagerService(   61): bootCompleted
I/ARMAssembler(   61): generated scanline__00000177:03010104_00000002_00000000 [ 44 ipp] (66 ins) at [0x44d3a290:0x44d3a398] in 720541 ns
I/ARMAssembler(   61): generated scanline__00000177:03515104_00000001_00000000 [ 73 ipp] (95 ins) at [0x44d3a3a0:0x44d3a51c] in 707259 ns
D/VoldCmdListener(   29): volume mount /mnt/sdcard
I/Vold    (   29): /dev/block/vold/179:0 being considered for volume sdcard
D/Vold    (   29): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
I/StorageNotification(  140): Media {/mnt/sdcard} state changed from {unmounted} -> {checking}
I//system/bin/fsck_msdos(   29): ** /dev/block/vold/179:0
D/dalvikvm(  140): GC_EXTERNAL_ALLOC freed 147K, 52% free 2723K/5639K, external 2129K/2137K, paused 83ms
I/SearchManagerService(   61): Building list of searchable activities
W/dalvikvm(  206): threadid=6: spin on suspend #1 threadid=3 (pcf=0)
D/dalvikvm(  206): Temporarily moving tid 208 to fg (was 0)
W/dalvikvm(  206): threadid=6: spin on suspend resolved in 1085 msec
D/dalvikvm(  206): Restored policy of 208 to 0
I//system/bin/fsck_msdos(   29): ** Phase 1 - Read and Compare FATs
I//system/bin/fsck_msdos(   29): Attempting to allocate 2032 KB for FAT
D/dalvikvm(   61): GC_EXPLICIT freed 1112K, 46% free 4432K/8199K, external 4373K/5573K, paused 85ms
D/dalvikvm(  206): GC_CONCURRENT freed 370K, 54% free 2595K/5575K, external 1625K/2137K, paused 4ms+2ms
E/dalvikvm(  258): Could not find class 'android.app.Notification$Builder', referenced from method com.wandoujia.phoenix2.photosync.b.handleMessage
W/dalvikvm(  258): VFY: unable to resolve new-instance 33 (Landroid/app/Notification$Builder;) in Lcom/wandoujia/phoenix2/photosync/b;
D/dalvikvm(  258): VFY: replacing opcode 0x22 at 0x007d
D/dalvikvm(  258): VFY: dead code 0x007f-00af in Lcom/wandoujia/phoenix2/photosync/b;.handleMessage (Landroid/os/Message;)V
D/dalvikvm(  258): VFY: dead code 0x00b8-00c9 in Lcom/wandoujia/phoenix2/photosync/b;.handleMessage (Landroid/os/Message;)V
E/dalvikvm(  258): Could not find class 'android.app.Notification$Builder', referenced from method com.wandoujia.phoenix2.appwash.controller.AppWashController.a
W/dalvikvm(  258): VFY: unable to resolve new-instance 33 (Landroid/app/Notification$Builder;) in Lcom/wandoujia/phoenix2/appwash/controller/AppWashController;
D/dalvikvm(  258): VFY: replacing opcode 0x22 at 0x00c1
D/dalvikvm(  258): VFY: dead code 0x00c3-010b in Lcom/wandoujia/phoenix2/appwash/controller/AppWashController;.a (Ljava/util/List;Lcom/wandoujia/phoenix2/appwash/controller/AppWashController$WashEntryType;)V
I//system/bin/fsck_msdos(   29): Attempting to allocate 2032 KB for FAT
D/dalvikvm(  258): GC_CONCURRENT freed 560K, 48% free 3505K/6663K, external 1625K/2137K, paused 3ms+3ms
D/OtaStartupReceiver(  137): Not a CDMA phone, no need to process OTA
I/ActivityManager(   61): Start proc com.android.mms for broadcast com.android.mms/.transaction.MmsSystemEventReceiver: pid=297 uid=10015 gids={3003, 1015}
I/RecoverySystem(   61): No recovery log file
I/ActivityThread(  297): Pub com.android.mms.SuggestionsProvider: com.android.mms.SuggestionsProvider
W/Mms/cache(  297): RecipientId 1 not in cache!
D/dalvikvm(  137): GREF has increased to 201
D/dalvikvm(  258): DexOpt: couldn't find field Landroid/content/pm/PackageStats;.externalCacheSize
W/dalvikvm(  258): VFY: unable to resolve instance field 54
D/dalvikvm(  258): VFY: replacing opcode 0x53 at 0x000e
D/dalvikvm(  258): DexOpt: couldn't find field Landroid/content/pm/PackageStats;.externalCodeSize
W/dalvikvm(  258): VFY: unable to resolve instance field 55
D/dalvikvm(  258): VFY: replacing opcode 0x53 at 0x0020
D/dalvikvm(  258): VFY: dead code 0x0010-0019 in Lcom/wandoujia/phoenix2/appwash/controller/ay;.a (Lcom/wandoujia/phoenix2/appwash/controller/ay;Landroid/content/pm/PackageStats;)J
D/dalvikvm(  258): VFY: dead code 0x0022-0022 in Lcom/wandoujia/phoenix2/appwash/controller/ay;.a (Lcom/wandoujia/phoenix2/appwash/controller/ay;Landroid/content/pm/PackageStats;)J
I/ActivityManager(   61): Start proc com.android.email for broadcast com.android.email/.service.EmailBroadcastReceiver: pid=319 uid=10028 gids={3003, 1015}
I/ActivityThread(  319): Pub com.android.email.provider: com.android.email.provider.EmailProvider
I/ActivityThread(  319): Pub com.android.email.attachmentprovider: com.android.email.provider.AttachmentProvider
I/ActivityThread(  319): Pub com.android.exchange.provider: com.android.exchange.provider.ExchangeProvider
D/EAS SyncManager(  319): !!! EAS SyncManager, onCreate
D/dalvikvm(  258): DexOpt: couldn't find field Landroid/content/pm/PackageStats;.externalDataSize
I/dalvikvm(  258): DexOpt: unable to optimize instance field ref 0x0038 at 0x10 in Lcom/wandoujia/phoenix2/appwash/controller/ay;.a
D/dalvikvm(  258): DexOpt: couldn't find field Landroid/content/pm/PackageStats;.externalMediaSize
I/dalvikvm(  258): DexOpt: unable to optimize instance field ref 0x0039 at 0x13 in Lcom/wandoujia/phoenix2/appwash/controller/ay;.a
D/dalvikvm(  258): DexOpt: couldn't find field Landroid/content/pm/PackageStats;.externalObbSize
I/dalvikvm(  258): DexOpt: unable to optimize instance field ref 0x003a at 0x16 in Lcom/wandoujia/phoenix2/appwash/controller/ay;.a
D/Eas Debug(  319): Logging: 
D/EAS SyncManager(  319): !!! EAS SyncManager, onDestroy
D/MediaScannerService(  235): start scanning volume internal
D/Email   (  319): BOOT_COMPLETED
D/EAS SyncManager(  319): !!! EAS SyncManager, onCreate
D/EAS SyncManager(  319): !!! EAS SyncManager, onStartCommand
D/EAS SyncManager(  319): !!! EAS SyncManager, stopping self
D/EAS SyncManager(  319): !!! EAS SyncManager, onDestroy
I//system/bin/fsck_msdos(   29): ** Phase 2 - Check Cluster Chains
I//system/bin/fsck_msdos(   29): ** Phase 3 - Checking Directories
I//system/bin/fsck_msdos(   29): ** Phase 4 - Checking for Lost Files
I//system/bin/fsck_msdos(   29): Next free cluster in FSInfo block (36727) not free
I//system/bin/fsck_msdos(   29): FIXED
I//system/bin/fsck_msdos(   29): 658 files, 239991 free (479982 clusters)
I/Vold    (   29): Filesystem check completed OK
I/Vold    (   29): Device /dev/block/vold/179:0, target /mnt/sdcard mounted @ /mnt/secure/staging
D/Vold    (   29): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
I/PackageManager(   61): Updating external media status from unmounted to mounted
I/StorageNotification(  140): Media {/mnt/sdcard} state changed from {checking} -> {mounted}
D/VoldCmdListener(   29): asec list
D/VoldCmdListener(   29): asec path cn.wps.livespace-1
D/VoldCmdListener(   29): asec mount cn.wps.livespace-1 {} 1000
D/VoldCmdListener(   29): asec path cn.wps.livespace-1
I/PackageManager(   61): Linking native library dir for /mnt/asec/cn.wps.livespace-1/pkg.apk
D/MediaScanner(  235):  prescan time: 2059ms
D/MediaScanner(  235):     scan time: 9ms
D/MediaScanner(  235): postscan time: 0ms
D/MediaScanner(  235):    total time: 2068ms
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.mail in package com.android.contacts
W/PackageManager(   61): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
W/PackageManager(   61): Unknown permission com.android.vending.BILLING in package cn.wps.moffice_eng
W/PackageManager(   61): Not granting permission com.android.email.permission.ACCESS_PROVIDER to package cn.wps.moffice_eng (protectionLevel=3 flags=0x8be44)
W/PackageManager(   61): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x9be45)
W/PackageManager(   61): Unknown permission com.google.android.gm.permission.WRITE_GMAIL in package com.android.settings
W/PackageManager(   61): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.android.settings
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.settings
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.providers.contacts
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.cp in package com.android.providers.contacts
W/PackageManager(   61): Unknown permission com.android.launcher.permission.CREATE_SHORTCUT in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission org.adw.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission org.adw.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.qihoo360.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.qihoo360.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.lge.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.lge.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission net.qihoo.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission net.qihoo.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission org.adwfreak.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission org.adwfreak.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.huawei.launcher3.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.huawei.launcher3.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.fede.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.fede.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.sec.android.app.twlauncher.settings.READ_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Unknown permission com.sec.android.app.twlauncher.settings.WRITE_SETTINGS in package com.wandoujia.phoenix2
W/PackageManager(   61): Not granting permission android.permission.ACCESS_DRM to package com.wandoujia.phoenix2 (protectionLevel=2 flags=0x8be44)
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.android.development
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.development
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES in package com.android.development
W/PackageManager(   61): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser in package com.android.development
W/PackageManager(   61): Not granting permission android.permission.SET_PREFERRED_APPLICATIONS to package com.mx.browser (protectionLevel=2 flags=0x8be44)
W/PackageManager(   61): Unknown permission android.permission.READ_OWNER_DATA in package com.android.email
W/PackageManager(   61): Not granting permission android.permission.DEVICE_POWER to package com.android.deskclock (protectionLevel=2 flags=0x8be45)
D/dalvikvm(  258): GC_CONCURRENT freed 732K, 50% free 3523K/6919K, external 1753K/2137K, paused 3ms+3ms
I/dalvikvm(   61): Jit: resizing JitTable from 512 to 1024
D/dalvikvm(  258): Trying to load lib /data/data/com.wandoujia.phoenix2/lib/libcipher.so 0x40515820
D/dalvikvm(  258): Added shared lib /data/data/com.wandoujia.phoenix2/lib/libcipher.so 0x40515820
D/dalvikvm(  258): No JNI_OnLoad found in /data/data/com.wandoujia.phoenix2/lib/libcipher.so 0x40515820, skipping init
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 265K, 50% free 3030K/5959K, external 6690K/6692K, paused 51ms
D/dalvikvm(  144): GC_EXPLICIT freed 125K, 51% free 2942K/5959K, external 5027K/5572K, paused 45ms
D/MediaScannerService(  235): done scanning volume internal
D/MediaScannerService(  235): start scanning volume external
W/RecognitionManagerService(   61): no available voice recognition services found
D/dalvikvm(   61): GC_EXPLICIT freed 835K, 45% free 4531K/8199K, external 4373K/5573K, paused 106ms
V/MediaProvider(  235): /mnt/sdcard volume ID: 218050065
D/dalvikvm(  258): GC_CONCURRENT freed 786K, 50% free 3530K/6983K, external 1753K/2137K, paused 8ms+3ms
V/MediaProvider(  235): Attached volume: external
V/MediaScanner(  235): pruneDeadThumbnailFiles... android.database.sqlite.SQLiteCursor@405b8b78
V/MediaScanner(  235): /pruneDeadThumbnailFiles... android.database.sqlite.SQLiteCursor@405b8b78
D/MediaScanner(  235):  prescan time: 33ms
D/MediaScanner(  235):     scan time: 16ms
D/MediaScanner(  235): postscan time: 8ms
D/MediaScanner(  235):    total time: 57ms
D/MediaScannerService(  235): done scanning volume external
D/dalvikvm(  258): GC_CONCURRENT freed 582K, 46% free 3836K/7047K, external 1753K/2137K, paused 4ms+3ms
D/dalvikvm(  144): GC_EXPLICIT freed 204K, 51% free 2964K/5959K, external 4926K/5572K, paused 48ms
D/dalvikvm(  185): GC_CONCURRENT freed 273K, 51% free 2853K/5767K, external 1625K/2137K, paused 4ms+95ms
I/dalvikvm(  258): Could not find method android.app.ActivityManager.getLauncherLargeIconSize, referenced from method com.wandoujia.phoenix2.utils.ShortcutUtil.a
W/dalvikvm(  258): VFY: unable to resolve virtual method 60: Landroid/app/ActivityManager;.getLauncherLargeIconSize ()I
D/dalvikvm(  258): VFY: replacing opcode 0x6e at 0x0013
D/dalvikvm(  258): VFY: dead code 0x0016-0040 in Lcom/wandoujia/phoenix2/utils/ShortcutUtil;.a (Landroid/graphics/Bitmap;Landroid/content/Context;)Landroid/graphics/Bitmap;
I/InputReader(   61): Device reconfigured: id=0x0, name=qwerty2, display size is now 480x800
I/InputManager-Callbacks(   61): No virtual keys found for device qwerty2.
I/ARMAssembler(   61): generated scanline__00000177:03515104_00001001_00000000 [ 91 ipp] (114 ins) at [0x44d3a520:0x44d3a6e8] in 633907 ns
I/ActivityManager(   61): Displayed com.android.launcher/com.android.launcher2.Launcher: +25s959ms
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 21K, 50% free 2998K/5959K, external 4854K/5572K, paused 40ms
I/ActivityManager(   61): Starting: Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity } from pid 144
I/ActivityManager(   61): Start proc cn.wps.moffice_eng for activity cn.wps.moffice_eng/cn.wps.moffice.documentmanager.PreStartActivity: pid=345 uid=10037 gids={3003, 1015}
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  345): Could not find method cn.wps.moffice.documentmanager.PreStartActivity.getActionBar, referenced from method cn.wps.moffice.documentmanager.PreStartActivity.setDisplayShowCustomEnabled
W/dalvikvm(  345): VFY: unable to resolve virtual method 11013: Lcn/wps/moffice/documentmanager/PreStartActivity;.getActionBar ()Landroid/app/ActionBar;
D/dalvikvm(  345): VFY: replacing opcode 0x6e at 0x0006
D/dalvikvm(  345): VFY: dead code 0x0009-000e in Lcn/wps/moffice/documentmanager/PreStartActivity;.setDisplayShowCustomEnabled (Z)V
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/ActivityManager(   61): Starting: Intent { cmp=cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager } from pid 345
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GC_EXTERNAL_ALLOC freed 637K, 50% free 3331K/6599K, external 2129K/2137K, paused 57ms
D/dalvikvm(  345): GC_EXTERNAL_ALLOC freed 46K, 49% free 3382K/6599K, external 2611K/2673K, paused 46ms
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
I/dalvikvm(  345): Failed resolving Lcn/wps/moffice/common/beans/k$1; interface 540 'Landroid/nfc/NfcAdapter$OnNdefPushCompleteCallback;'
W/dalvikvm(  345): Link of class 'Lcn/wps/moffice/common/beans/k$1;' failed
E/dalvikvm(  345): Could not find class 'cn.wps.moffice.common.beans.k$1', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  345): VFY: unable to resolve new-instance 1597 (Lcn/wps/moffice/common/beans/k$1;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  345): VFY: replacing opcode 0x22 at 0x0039
I/dalvikvm(  345): Failed resolving Lcn/wps/moffice/common/beans/k$3; interface 538 'Landroid/nfc/NfcAdapter$CreateBeamUrisCallback;'
W/dalvikvm(  345): Link of class 'Lcn/wps/moffice/common/beans/k$3;' failed
E/dalvikvm(  345): Could not find class 'cn.wps.moffice.common.beans.k$3', referenced from method cn.wps.moffice.common.beans.k.<init>
W/dalvikvm(  345): VFY: unable to resolve new-instance 1599 (Lcn/wps/moffice/common/beans/k$3;) in Lcn/wps/moffice/common/beans/k;
D/dalvikvm(  345): VFY: replacing opcode 0x22 at 0x0070
D/dalvikvm(  345): VFY: dead code 0x003b-005c in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/dalvikvm(  345): VFY: dead code 0x0072-0079 in Lcn/wps/moffice/common/beans/k;.<init> (Landroid/app/Activity;)V
D/water   (  345): packageName: cn.wps.moffice_eng
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GC_CONCURRENT freed 521K, 47% free 3627K/6727K, external 3121K/3694K, paused 19ms+8ms
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GetFieldID: unable to find field Ljava/util/HashMap;.loadFactor:F
D/dalvikvm(  345): GC_EXTERNAL_ALLOC freed 318K, 48% free 3572K/6791K, external 3121K/3694K, paused 50ms
D/dalvikvm(  345): GC_EXTERNAL_ALLOC freed 149K, 48% free 3593K/6791K, external 3545K/4295K, paused 48ms
W/ResourceType(   61): Skipping entry 0x7f040000 in package table 0 because it is not complex!
W/ResourceType(   61): Skipping entry 0x7f040017 in package table 0 because it is not complex!
I/ARMAssembler(   61): generated scanline__00000177:03515104_00001002_00000000 [ 87 ipp] (110 ins) at [0x44d3a6f0:0x44d3a8a8] in 395437 ns
I/ActivityManager(   61): Displayed cn.wps.moffice_eng/cn.wps.moffice.documentmanager.DocumentManager: +3s144ms (total +4s47ms)
D/inject  (  371): [+] The pid of cn.wps.moffice_eng: 345
D/inject  (  371): [+] Injecting process: 345
D/inject  (  371): [+] get_remote_addr: local[afd00000], remote[afd00000]
D/inject  (  371): [+] Remote mmap address: afd170cd
D/inject  (  371): [+] Calling mmap in target process.
D/inject  (  371): [+] Target process returned from mmap, return value=4521d000, pc=0 
D/inject  (  371): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  371): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  371): [+] get_remote_addr: local[b0001000], remote[b0001000]
D/inject  (  371): [+] Get imports: dlopen: b00059bd, dlsym: b0005915, dlclose: b0005849
D/inject  (  371): [+] Inject code start: c008, end: c084
D/inject  (  371): [+] _dlopen_param1_s: 45220c9c
D/inject  (  371): [+] _dlsym_param2_s: 45220d9c
D/inject  (  371): [+] _saved_r0_pc_s: 45220e9c
D/inject  (  371): [+] _inject_function_param_s: 45220f9c
D/inject  (  371): [+] Remote shellcode address: 45220c00
D/inject  (  371): [+] Process Detach: 10
D/inject  (  345): Hello ARM! I'm parameter1324! pid:345
D/inject  (  345): The Handle of libhook_open: b000d2b0
D/inject  (  345): find it pre 0
D/inject  (  345): find it 8060109c
D/inject  (  345): [+] aaaaaaa do_hook function is invoked 
D/inject  (  345): [+] open addr: 0xafd17111. New addr 0x80600f60
D/inject  (  345): [+] just for test 
D/inject  (  345): [+] set ok 
D/inject  (  345): [+] Get the persist.sys.test  bbbbbbbb
I/DEBUG   (   31): *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** ***
