USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
root      1926  2     0      0     ffffffff 00000000 S kdmflush
root      1927  2     0      0     ffffffff 00000000 S kcryptd_io
root      1928  2     0      0     ffffffff 00000000 S kcryptd
root      1929  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1931  2     0      0     ffffffff 00000000 S loop48
root      1932  2     0      0     ffffffff 00000000 S kdmflush
root      1933  2     0      0     ffffffff 00000000 S kcryptd_io
root      1934  2     0      0     ffffffff 00000000 S kcryptd
root      1935  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1937  2     0      0     ffffffff 00000000 S loop49
root      1938  2     0      0     ffffffff 00000000 S kdmflush
root      1939  2     0      0     ffffffff 00000000 S kcryptd_io
root      1940  2     0      0     ffffffff 00000000 S kcryptd
root      1941  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1943  2     0      0     ffffffff 00000000 S loop50
root      1944  2     0      0     ffffffff 00000000 S kdmflush
root      1945  2     0      0     ffffffff 00000000 S kcryptd_io
root      1946  2     0      0     ffffffff 00000000 S kcryptd
root      1947  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1950  2     0      0     ffffffff 00000000 S loop51
root      1951  2     0      0     ffffffff 00000000 S kdmflush
root      1952  2     0      0     ffffffff 00000000 S kcryptd_io
root      1953  2     0      0     ffffffff 00000000 S kcryptd
root      1954  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1956  2     0      0     ffffffff 00000000 S loop52
root      1957  2     0      0     ffffffff 00000000 S kdmflush
root      1958  2     0      0     ffffffff 00000000 S kcryptd_io
root      1959  2     0      0     ffffffff 00000000 S kcryptd
root      1960  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1962  2     0      0     ffffffff 00000000 S loop53
root      1963  2     0      0     ffffffff 00000000 S kdmflush
root      1964  2     0      0     ffffffff 00000000 S kcryptd_io
root      1965  2     0      0     ffffffff 00000000 S kcryptd
root      1966  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1968  2     0      0     ffffffff 00000000 S loop54
root      1969  2     0      0     ffffffff 00000000 S kdmflush
root      1970  2     0      0     ffffffff 00000000 S kcryptd_io
root      1971  2     0      0     ffffffff 00000000 S kcryptd
root      1972  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1975  2     0      0     ffffffff 00000000 S loop55
root      1981  2     0      0     ffffffff 00000000 S kdmflush
root      1982  2     0      0     ffffffff 00000000 S kcryptd_io
root      1983  2     0      0     ffffffff 00000000 S kcryptd
root      1984  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1990  2     0      0     ffffffff 00000000 S loop56
root      1991  2     0      0     ffffffff 00000000 S kdmflush
root      1992  2     0      0     ffffffff 00000000 S kcryptd_io
root      1993  2     0      0     ffffffff 00000000 S kcryptd
root      1995  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      1998  2     0      0     ffffffff 00000000 S loop57
root      1999  2     0      0     ffffffff 00000000 S kdmflush
root      2000  2     0      0     ffffffff 00000000 S kcryptd_io
root      2001  2     0      0     ffffffff 00000000 S kcryptd
root      2002  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2004  2     0      0     ffffffff 00000000 S loop58
root      2005  2     0      0     ffffffff 00000000 S kdmflush
root      2006  2     0      0     ffffffff 00000000 S kcryptd_io
root      2007  2     0      0     ffffffff 00000000 S kcryptd
root      2008  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2010  2     0      0     ffffffff 00000000 S loop59
root      2011  2     0      0     ffffffff 00000000 S kdmflush
root      2012  2     0      0     ffffffff 00000000 S kcryptd_io
root      2013  2     0      0     ffffffff 00000000 S kcryptd
root      2014  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2019  2     0      0     ffffffff 00000000 S loop60
root      2020  2     0      0     ffffffff 00000000 S kdmflush
root      2021  2     0      0     ffffffff 00000000 S kcryptd_io
root      2022  2     0      0     ffffffff 00000000 S kcryptd
root      2023  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2025  2     0      0     ffffffff 00000000 S loop61
root      2026  2     0      0     ffffffff 00000000 S kdmflush
root      2027  2     0      0     ffffffff 00000000 S kcryptd_io
root      2028  2     0      0     ffffffff 00000000 S kcryptd
root      2029  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2032  2     0      0     ffffffff 00000000 S loop62
root      2033  2     0      0     ffffffff 00000000 S kdmflush
root      2034  2     0      0     ffffffff 00000000 S kcryptd_io
root      2035  2     0      0     ffffffff 00000000 S kcryptd
root      2036  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2038  2     0      0     ffffffff 00000000 S loop63
root      2039  2     0      0     ffffffff 00000000 S kdmflush
root      2040  2     0      0     ffffffff 00000000 S kcryptd_io
root      2041  2     0      0     ffffffff 00000000 S kcryptd
root      2042  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2045  2     0      0     ffffffff 00000000 S loop64
root      2046  2     0      0     ffffffff 00000000 S kdmflush
root      2047  2     0      0     ffffffff 00000000 S kcryptd_io
root      2048  2     0      0     ffffffff 00000000 S kcryptd
root      2049  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2051  2     0      0     ffffffff 00000000 S loop65
root      2052  2     0      0     ffffffff 00000000 S kdmflush
root      2053  2     0      0     ffffffff 00000000 S kcryptd_io
root      2054  2     0      0     ffffffff 00000000 S kcryptd
root      2055  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2057  2     0      0     ffffffff 00000000 S loop66
root      2058  2     0      0     ffffffff 00000000 S kdmflush
root      2059  2     0      0     ffffffff 00000000 S kcryptd_io
root      2060  2     0      0     ffffffff 00000000 S kcryptd
root      2061  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2063  2     0      0     ffffffff 00000000 S loop67
root      2064  2     0      0     ffffffff 00000000 S kdmflush
root      2065  2     0      0     ffffffff 00000000 S kcryptd_io
root      2066  2     0      0     ffffffff 00000000 S kcryptd
root      2067  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2069  2     0      0     ffffffff 00000000 S loop68
root      2070  2     0      0     ffffffff 00000000 S kdmflush
root      2071  2     0      0     ffffffff 00000000 S kcryptd_io
root      2072  2     0      0     ffffffff 00000000 S kcryptd
root      2073  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      2075  2     0      0     ffffffff 00000000 S loop69
root      2076  2     0      0     ffffffff 00000000 S kdmflush
root      2077  2     0      0     ffffffff 00000000 S kcryptd_io
root      2078  2     0      0     ffffffff 00000000 S kcryptd
root      2079  2     0      0     ffffffff 00000000 S ext4-dio-unwrit
u0_a9     2160  103   300160 32536 ffffffff 00000000 S com.google.android.gsf.login
u0_a96    2300  103   335424 59408 ffffffff 00000000 S com.speedsoftware.rootexplorer
